CNPJ_CIA;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CONST;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;TP_MERC;CATEG_REG;DT_INI_CATEG;SIT_EMISSOR;DT_INI_SIT_EMISSOR;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL;TP_RESP;RESP;DT_INI_RESP;LOGRADOURO_RESP;COMPL_RESP;BAIRRO_RESP;MUN_RESP;UF_RESP;PAIS_RESP;CEP_RESP;DDD_TEL_RESP;TEL_RESP;DDD_FAX_RESP;FAX_RESP;EMAIL_RESP;CNPJ_AUDITOR;AUDITOR
33.041.260/0652-90;GRUPO CASAS BAHIA S.A.;PONTO FRIO;1981-11-24;1946-07-12;;;ATIVO;1981-11-24;6505;Comércio (Atacado e Varejo);BALCÃO ORGANIZADO;Categoria A;2010-01-01;FASE OPERACIONAL;1981-11-24;PRIVADO;SEDE;Rua Flórida, 1970;5 andar;Cidade Monções;SÃO PAULO;SP;BRASIL;4565001;11;42256017;11;42256996;ri@casasbahia.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Elcio Mitsuhiro Ito;2024-07-30;Avenida Rebouças, 3970;28 andar;Pinheiros;SÃO PAULO;SP;;5402918;11;42259905;;;ri@casasbahia.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
33.041.260/0652-90;GRUPO CASAS BAHIA S.A.;PONTO FRIO;1981-11-24;1946-07-12;;;ATIVO;1981-11-24;6505;Comércio (Atacado e Varejo);BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1981-11-24;PRIVADO;SEDE;Rua Flórida, 1970;5 andar;Cidade Monções;SÃO PAULO;SP;BRASIL;4565001;11;42256017;11;42256996;ri@casasbahia.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Elcio Mitsuhiro Ito;2024-07-30;Avenida Rebouças, 3970;28 andar;Pinheiros;SÃO PAULO;SP;;5402918;11;42259905;;;ri@casasbahia.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
04.972.092/0001-22;GRUPO FARTURA DE HORTIFRUT S.A.;GRUPO FARTURA DE HORTIFRUT S.A;2021-08-16;2017-10-19;;;ATIVO;2021-08-16;26166;Comércio (Atacado e Varejo);;Categoria A;2021-08-16;FASE OPERACIONAL;2020-10-20;PRIVADO;SEDE;Av. Américo Ribeiro dos Santos, s/n, Gleba 06B, Parque B;Parque Bandeirantes;Nova Veneza;SUMARÉ;SP;BRASIL;13181715;19;37467010;;;ri@redeoba.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Alexandre Otomo de Almeida;2021-01-25;Avenida Comendador Aladino Selmi;2502 - Galpão 5;Pq. Cidade Campinas;CAMPINAS;SP;;13069036;19;37467015;;;ri@redeoba.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
24.990.777/0001-09;GRUPO MATEUS S.A.;;2020-10-08;2016-05-02;;;ATIVO;2020-10-08;25186;Emp. Adm. Part. - Comércio (Atacado e Varejo);BALCÃO ORGANIZADO;Categoria A;2020-10-08;FASE OPERACIONAL;2020-08-14;PRIVADO HOLDING;SEDE;Avenida Daniel de La Touche, nº 73;Loja 03;Cohama;SÃO LUÍS;MA;BRASIL;65074115;98;21083582;;;ri@grupomateus.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Tulio Jose Pitol de Queiroz;2022-08-22;Avenida Daniel de La Touche, nº 73;Loja 03;Cohama;SÃO LUÍS;MA;;65074115;98;21083582;;;ri@grupomateus.com.br;07.326.840/0001-98;FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.
24.990.777/0001-09;GRUPO MATEUS S.A.;;2020-10-08;2016-05-02;;;ATIVO;2020-10-08;25186;Emp. Adm. Part. - Comércio (Atacado e Varejo);BOLSA;Categoria A;2020-10-08;FASE OPERACIONAL;2020-08-14;PRIVADO HOLDING;SEDE;Avenida Daniel de La Touche, nº 73;Loja 03;Cohama;SÃO LUÍS;MA;BRASIL;65074115;98;21083582;;;ri@grupomateus.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Tulio Jose Pitol de Queiroz;2022-08-22;Avenida Daniel de La Touche, nº 73;Loja 03;Cohama;SÃO LUÍS;MA;;65074115;98;21083582;;;ri@grupomateus.com.br;07.326.840/0001-98;FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.
59.717.553/0001-02;GRUPO MULTILASER S.A.;GRUPO MULTILASER S.A.;2021-07-20;1988-11-21;;;ATIVO;2021-07-20;26034;Comunicação e Informática;;Categoria A;2021-07-20;FASE OPERACIONAL;2021-05-14;PRIVADO;SEDE;Avenida Brigadeiro Faria Lima, nº 1811;15º andar;Jardim América;SÃO PAULO;SP;BRASIL;1452000;11;31985877;11;36168600;ri@grupomultilaser.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Eduardo Ferreira Belelas dos Santos;2026-02-18;Avenida Brigadeiro Faria Lima, nº 1811;15º Andar;Jardim Paulista;SÃO PAULO;SP;;1452001;11;31985877;;;ri@grupomultilaser.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
17.765.891/0001-70;GRUPO SALTA EDUCAÇÃO S.A.;GRUPO SALTA EDUCAÇÃO S.A.;2025-06-17;2013-03-18;;;ATIVO;2025-06-17;27820;Emp. Adm. Part. - Educação;;Categoria A;2025-02-26;FASE OPERACIONAL;2013-03-18;PRIVADO;SEDE;Rua Rodrigo de Brito;nº 13;Botafogo;RIO DE JANEIRO;RJ;BRASIL;22280100;21;35285100;;;ri@gruposaltaedu.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Marcelo Fernandes Cintra;2024-02-16;Rua Rodrigo de Brito;nº 13;Botafogo;RIO DE JANEIRO;RJ;;22280100;21;35285100;;;ri@gruposaltaedu.com;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
13.217.485/0001-11;GRUPO SBF S.A.;GRUPO SBF S.A.;2019-04-15;2011-01-31;;;ATIVO;2019-04-15;24694;Comércio (Atacado e Varejo);BOLSA;Categoria A;2019-04-15;FASE OPERACIONAL;2019-02-15;PRIVADO HOLDING;SEDE;Avenida Doutora Ruth Cardoso, Edifício Birmann, nº 7.221;3º andar;Pinheiros;SÃO PAULO;SP;BRASIL;5425902;11;25885000;;;ri@gruposbf.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;José Luís Magalhães Salazar;2019-02-15;Avenida Doutora Ruth Cardoso, Edifício Birmann, n° 7.221;3° andar;Pinheiros;SÃO PAULO;SP;;5425902;11;25885000;;;ri@gruposbf.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
31.553.627/0001-01;GRUPO TOKY S.A.;GRUPO TOKY S.A.;2021-02-03;2018-08-22;;;ATIVO;2021-02-03;25461;Comércio (Atacado e Varejo);BOLSA;Categoria A;2021-02-03;FASE OPERACIONAL;2020-12-07;ESTRANGEIRO;SEDE;Avenida das Nações Unidas, nº 16.737, Mezanino;sala 2;Várzea de Baixo;SÃO PAULO;SP;BRASIL;4730090;11;43025085;;;ri@mobly.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Fabio Ferrante;2026-05-11;Avenida das Nações Unidas, nº 16.737, Mezanino;sala 2;Várzea de Baixo;SÃO PAULO;SP;;4730090;11;43025085;;;ri@mobly.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
08.397.078/0001-01;GSH CORP PARTICIPAÇÕES S.A.;GSH CORP PARTICIPAÇÕES S.A.;2022-01-27;2006-08-01;;;ATIVO;2022-01-27;26603;Serviços Médicos;;Categoria A;2022-01-27;FASE OPERACIONAL;2021-11-17;PRIVADO;SEDE;Praia do Flamengo 154;13º andar;Flamengo;RIO DE JANEIRO;RJ;BRASIL;22210906;21;38122628;;;ri@gshcorp.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Marcos Aurélio Faccioli;2021-11-16;Praia do Flamengo 154;13º andar;Flamengo;RIO DE JANEIRO;RJ;;22210906;21;38122628;;;ri@gshcorp.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
08.402.943/0001-52;GUARARAPES CONFECÇÕES SA;GUARARAPES CONFECÇÕES;1958-10-16;1956-10-06;;;ATIVO;1958-10-16;4669;Têxtil e Vestuário;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1992-10-20;PRIVADO;SEDE;Rodovia BR 101 Norte, nº 9.000, Anexo Guararapes Confecções;;N. Sra. Apresentação;NATAL;RN;BRASIL;59115900;84;32041100;84;32272337;ri@riachuelo.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Luis Miguel Ferreira Cafruni;2024-05-13;Rua Lemos Monteiro, 120;Andar 15/16/17/18;Butantã;SÃO PAULO;;;5501050;11;29717420;;;diretorri@guararapes.ind.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
30.540.991/0001-66;HAGA S.A. INDÚSTRIA E COMÉRCIO;HAGA;1988-09-01;1946-05-02;;;ATIVO;1988-09-01;13366;Metalurgia e Siderurgia;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;2012-10-15;PRIVADO;SEDE;AVENIDA ENGENHEIRO HANS GAISER, 26;PREDIO;CENTRO;NOVA FRIBURGO;RJ;BRASIL;28605220;22;25258000;22;25258059;haga@haga.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;JOSÉ LUIZ ABICALIL;1994-06-28;AVENIDA ENGENHEIRO HANS GAISER, 26;PRÉDIO;CENTRO;NOVA FRIBURGO;RJ;;28605220;22;25258000;;;abicalil@haga.com.br;28.798.390/0001-06;R4 AUDITORIA INDEPENDENTE S/S - ME
05.197.443/0001-38;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;2018-04-20;2001-08-30;;;ATIVO;2018-04-20;24392;Serviços Médicos;BALCÃO ORGANIZADO;Categoria A;2018-04-20;FASE OPERACIONAL;2018-02-26;PRIVADO HOLDING;SEDE;Avenida Heráclito Graça;nº 406;Centro;FORTALEZA;CE;BRASIL;60140060;85;32559005;;;ri@hapvida.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Felipe Nobre Barbosa;2026-05-01;Avenida Heráclito Graça, 406;;Centro;FORTALEZA;CE;;60140060;11;32352109;;;ri@hapvida.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
05.197.443/0001-38;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;2018-04-20;2001-08-30;;;ATIVO;2018-04-20;24392;Serviços Médicos;BOLSA;Categoria A;2018-04-20;FASE OPERACIONAL;2018-02-26;PRIVADO HOLDING;SEDE;Avenida Heráclito Graça;nº 406;Centro;FORTALEZA;CE;BRASIL;60140060;85;32559005;;;ri@hapvida.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Felipe Nobre Barbosa;2026-05-01;Avenida Heráclito Graça, 406;;Centro;FORTALEZA;CE;;60140060;11;32352109;;;ri@hapvida.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
56.444.250/0001-75;HAUSCENTER SA;HAUSCENTER;1995-05-02;1986-09-16;;;ATIVO;1995-05-02;14850;Emp. Adm. Part. - Sem Setor Principal;;Categoria B;2010-01-01;FASE OPERACIONAL;1995-05-02;PRIVADO;SEDE;AVENIDA DAS NAÇÕES UNIDAS, nr. 12551, 17º andar;Sala 1709;Santana;SÃO PAULO;SP;BRASIL;2406030;11;29793567;11;55065446;intercorpconsultoria@uol.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ANDRÉ PIRES NUNES;2024-04-30;AVENIDA DAS NAÇÕES UNIDAS, nr. 12551, 17º andar;Sala 1709;BROOKLIN PAULISTA;SÃO PAULO;SP;;4578903;21;986940517;;;intercorpconsultoria@uol.com.br;03.423.123/0001-23;GLOBAL AUDITORES INDEPENDENTES  S/S LTDA.
14.785.152/0001-51;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.;;2020-12-18;2011-12-02;;;ATIVO;2020-12-18;25402;Construção Civil, Mat. Constr. e Decoração;BOLSA;Categoria A;2020-12-18;FASE OPERACIONAL;2020-08-26;PRIVADO;SEDE;Avenida Vereador Narciso Yague Guimarães, 1.145;2º andar;Jardim Armênia;MOGI DAS CRUZES;SP;BRASIL;8780500;11;47937555;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;ALEXANDRE DALPIERO DE FREITAS;2024-09-30;Avenida Vereador Narciso Yague Guimarães, 1.145;2º andar;Jardim Armênia;MOGI DAS CRUZES;;;8780500;11;47937555;;;ri@hbrrealty.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
49.263.189/0001-02;HELBOR EMPREENDIMENTOS S/A;HELBOR;2007-07-09;1977-01-01;;;ATIVO;2007-07-09;20877;Construção Civil, Mat. Constr. e Decoração;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;2007-07-09;PRIVADO;SEDE;AV. VEREADOR NARCISO YAGUE GUIMARÃES, Nº 1145;15º ANDAR;JARDIM ARMÊNIA;MOGI DAS CRUZES;SP;BRASIL;8780500;11;47958555;11;47248831;ri@helbor.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ROBERVAL LANERA TOFFOLI;2025-07-07;Av Brigadeiro Faria Lima 4055;11° andar;Itaim Bibi;SÃO PAULO;SP;;4538133;11;31741211;;;ri@helbor.com.br;18.596.945/0001-83;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.
32.431.519/0001-10;HÉLIO VALGAS SOLAR PARTICIPAÇÕES S.A.;HÉLIO VALGAS SOLAR PARTICIPAÇÕES S.A.;2023-10-30;2019-01-09;;;ATIVO;2023-10-30;27332;Energia Elétrica;;Categoria B;2023-10-30;FASE OPERACIONAL;2023-08-31;PRIVADO;SEDE;Fazenda Caraíbas ou Olhos d'Água, s/n;;Zona Rural;VÁRZEA DA PALMA;MG;BRASIL;39260000;11;45730300;;;ri@comerc.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;BRUNO DE ARAUJO SOARES;2025-01-17;Rua Gomes de Carvalho, nº 1765;Cj 31/32, ed.Wysling;Vila Olímpia;SÃO PAULO;SP;;4547901;11;45730300;;;ri@comerc.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
92.749.225/0001-63;HERCULES S/A - FABRICA DE TALHERES;HERCULES S/A;1968-11-01;1936-01-01;;;ATIVO;1968-11-01;6629;Metalurgia e Siderurgia;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1968-11-01;PRIVADO;SEDE;Rua do Paraíso, 148 - 10º andar;Conjunto 102;Paraíso;SÃO PAULO;SP;BRASIL;4103000;11;35241500;11;35241523;acionistas@hercules.ind.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Marcelo Fagondes de Freitas;2019-10-15;Av. Dr. Nilo Peçanha, 2825;Conj. 301;Chácara das Pedras;PORTO ALEGRE;RS;;91330001;51;33585138;;;acionistas@hercules.ind.br;20.840.718/0001-01;TATICCA AUDITORES INDEPENDENTES S.S. - EPP
12.648.327/0001-53;HIDROVIAS DO BRASIL S.A.;HIDROVIAS DO BRASIL S.A.;2011-12-14;2010-08-18;;;ATIVO;2011-12-14;22675;Serviços Transporte e Logística;BOLSA;Categoria A;2011-12-14;FASE OPERACIONAL;2013-06-30;PRIVADO;SEDE;Avenida Brigadeiro Luís Antônio, nº 1343;7º andar;Bela Vista;SÃO PAULO;SP;BRASIL;1317910;11;39056000;11;39056005;ri@hbsa.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Andre Saleme Hachem;2024-06-03;Rua Fradique Coutinho;30, 7º andar;Pinheiros;SÃO PAULO;;;5416000;11;39056000;;;ri@hbsa.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
27.902.165/0002-96;HIGHLINE BRASIL II INFRAESTRUTURA DE TELECOMUNICAÇÕES S.A.;HIGHLINE BRASIL II INFRAESTRUTURA DE TELECOMUNICAÇÕES S.A.;2025-08-04;2017-12-07;;;ATIVO;2025-08-04;27880;Telecomunicações;;Categoria B;2025-05-14;FASE OPERACIONAL;2025-05-14;PRIVADO;SEDE;Avenida João Cabral de Mello Neto, nº 850;Bloco 02, Sl. 902;Barra da Tijuca;RIO DE JANEIRO;RJ;BRASIL;22775057;11;31925200;;;ri@highline.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Daniel Lafer Matandos;2025-05-05;Rua Joaquim Floriano, 294;3º e 4º Andares;Itaim Bibi;SÃO PAULO;SP;;4534001;11;31925200;;;ri@highline.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
40.159.947/0001-64;HMOBI PARTICIPAÇÕES S.A;HMOBI PARTICIPAÇÕES S.A;2021-04-07;2020-12-08;;;ATIVO;2021-04-07;25674;Emp. Adm. Part. - Sem Setor Principal;;Categoria A;2021-04-07;FASE OPERACIONAL;2022-05-31;PRIVADO HOLDING;SEDE;Avenida Presidente Vargas;nº 2000;Centro;RIO DE JANEIRO;RJ;BRASIL;20210031;21;22111300;;;dri@metrorio.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Alexandre Wolynec;2026-05-11;Avenida Presidente Vargas;2000;Centro;RIO DE JANEIRO;RJ;;20210031;21;995179264;;;dri@metrorio.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
18.903.785/0001-78;HOLDING DO ARAGUAIA S.A.;HOLDING DO ARAGUAIA S.A.;2021-12-23;2013-08-20;;;ATIVO;2021-12-23;26565;Serviços Transporte e Logística;;Categoria B;2021-12-23;FASE OPERACIONAL;2021-12-23;PRIVADO HOLDING;SEDE;Rua Gomes de Carvalho, nº 1.510;Conjuntos 31/32;Vila Olímpia;SÃO PAULO;SP;BRASIL;4547005;11;37872667;11;37872668;invest@ecorodovias.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;FABIANO MARTINS DE MEDEIROS;2025-09-01;Avenida Juscelino Kubitschek, Qd. 19, Lote 01 08, Ed.Gênesis;5º andar;Jundiaí;ANÁPOLIS;GO;;75100390;62;37711700;;;invest@ecorodovias.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
02.560.878/0001-07;HOSPITAL ANCHIETA S.A.;HOSPITAL ANCHIETA S.A.;2021-12-08;1995-08-01;;;ATIVO;2021-12-08;26468;Serviços Médicos;;Categoria B;2021-12-08;FASE OPERACIONAL;2021-09-10;PRIVADO;SEDE;Área Especial, 8/9/10;Setor C Norte;Taguatinga;BRASÍLIA;DF;BRASIL;72115700;27;33464232;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;ALEXANDRE AUGUSTO OLIVIERI;2026-01-07;ÁREA ESPECIAL, 8/9/10;SETOR C NORTE;TAGUATINGA;BRASÍLIA;DF;;72115700;27;33464232;0;0;ri@korasaude.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
25.249.439/0001-83;HOSPITAL CARE CALEDONIA S.A.;CALEDÔNIA SAÚDE S.A.;2021-04-28;2016-06-20;;;ATIVO;2021-04-28;25771;Serviços Médicos;;Categoria A;2021-04-28;FASE OPERACIONAL;2021-02-18;PRIVADO;SEDE;Rua Dr. Oswaldo Cruz;nº 291;Guanabara;CAMPINAS;SP;BRASIL;13076260;19;35149300;;;ri@hospitalcare.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;João Marcos Bezerra;2021-02-16;Rua Umbú;nº 291;Lot. Alphaville;CAMPINAS;SP;;13098325;19;35149380;;;ri@hospitalcare.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
16.676.520/0001-59;HOSPITAL MATER DEI S.A.;HOSPITAL MATER DEI S.A.;2021-04-14;1973-10-15;;;ATIVO;2021-04-14;25690;Serviços Médicos;BOLSA;Categoria A;2021-04-14;FASE OPERACIONAL;2021-02-12;PRIVADO;SEDE;Rua Mato Grosso;nº 1100;Santo Agostinho;BELO HORIZONTE;MG;BRASIL;30190081;31;34017100;;;ri@materdei.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Rafael Cardoso Cordeiro;2021-02-10;Rua Mato Grosso;nº 1100;Santo Agostinho;BELO HORIZONTE;MG;;30190081;31;34017100;;;ri@materdei.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
33.200.049/0001-47;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;HOTEIS OTHON S.A.;1980-08-08;1943-04-28;;;ATIVO;1980-08-08;6700;Hospedagem e Turismo;BOLSA;Categoria A;2010-01-01;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;2018-11-28;PRIVADO;SEDE;Av Nossa Senhora de Copacabana - Nº 995;2º andar (parte);Copacabana;RIO DE JANEIRO;RJ;BRASIL;22060001;21;21250270;21;21250285;drm@othon.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;CARLOS EDUARDO RIPPER VIANNA FILHO;2018-08-29;Av Nossa Senhora de Copacabana - Nº 995;2º andar (parte);Copacabana;RIO DE JANEIRO;RJ;;22060001;21;21250250;;;drm@othon.com.br;05.502.678/0001-96;MANDARINO & ASSOCIADOS AUDITORES
02.932.074/0001-91;HYPERA S/A;HYPERA PHARMA S/A;2008-04-16;2002-01-01;;;ATIVO;2008-04-16;21431;Farmacêutico e Higiene;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;2008-04-16;PRIVADO;SEDE;Rua Nova Cidade, 404;Não tem;Vila Olimpia;SÃO PAULO;SP;BRASIL;4547070;011;36274200;11;36274371;ri@hypera.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Ramon Sanches Frutuoso Silva;2025-03-24;Av. Magalhães de Castro, 4.800;24º andar - Torre 3;Cidade Jardim;SÃO PAULO;SP;;5502001;11;36274206;;;ri@hypera.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
40.593.395/0001-06;IFIN PARTICIPACOES S.A.;IFIN PARTICIPAÇÕES S.A.;2022-07-28;2020-09-29;;;ATIVO;2022-07-28;26905;Securitização de Recebíveis;;Categoria A;2022-07-28;FASE PRÉ-OPERACIONAL;2022-04-12;PRIVADO;SEDE;Rua Gerivatiba, 207;cj 161, 16º andar;Butantã;SÃO PAULO;SP;BRASIL;5501030;11;23941130;;;contato.felk@felkcap.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Ivo Vel Kos;2025-01-22;Rua Gerivatiba, nº 207;16º andar, Cj. 161;Butantã;SÃO PAULO;SP;;5501900;11;23941130;;;contato.felk@felkcap.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
42.353.180/0001-35;IGUÁ RIO DE JANEIRO S.A.;IGUÁ RIO DE JANEIRO S.A.;2022-03-30;2021-06-11;;;ATIVO;2022-03-30;26727;Emp. Adm. Part. - Saneamento, Serv. Água e Gás;;Categoria B;2021-12-22;FASE OPERACIONAL;2021-12-22;PRIVADO;SEDE;Avenida Ayrton Senna, 1791;;Jacarepaguá;RIO DE JANEIRO;RJ;BRASIL;22775002;11;35008600;;;ri@iguasa.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;FLAVIO DA COSTA VAZ;2024-09-19;AVENIDA AYRTON SENNA, 1791;;JACAREPAGUÁ;RIO DE JANEIRO;RJ;;22775002;11;35008600;;;ri@iguasa.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
08.159.965/0001-33;IGUA SANEAMENTO S.A.;COMPANHIA DE AGUAS DO BRASIL - CAB AMBIENTAL;2013-05-13;2006-06-26;;;ATIVO;2013-05-13;23175;Saneamento, Serv. Água e Gás;BOLSA;Categoria A;2013-05-13;FASE OPERACIONAL;2013-03-19;PRIVADO HOLDING;SEDE;Rua Hungria, 1.400;5º Andar;Jardim Europa;SÃO PAULO;SP;BRASIL;1455000;11;35008600;11;21990478;ri@iguasa.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;JOÃO LUIZ GUILLAUMON LOPES;2025-05-15;Rua Gomes de Carvalho, 1.507;11º andar;Vila Olímpia;SÃO PAULO;;;4547001;11;35008600;;;ri@iguasa.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
58.070.452/0001-20;IGUÁ SERGIPE S.A.;IGUÁ SERGIPE S.A.;2025-05-29;2024-11-08;;;ATIVO;2025-05-29;27812;Emp. Adm. Part. - Saneamento, Serv. Água e Gás;;Categoria B;2025-03-21;FASE PRÉ-OPERACIONAL;2025-03-21;PRIVADO HOLDING;SEDE;Rua Lourival Chagas, n° 45;Lt 168 E PT 167;Grageru;ARACAJU;SE;BRASIL;49025390;11;35008600;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;Fernando Soares Vieira Lima;2024-12-12;Rua Lourival Chagas, 45;;Grageru;ARACAJU;;;49025390;11;35008600;;;riigua@igua.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
51.218.147/0001-93;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;2007-02-02;1979-05-23;;;ATIVO;2007-02-02;20494;Comércio (Atacado e Varejo);BOLSA;Categoria B;2022-03-10;FASE OPERACIONAL;2007-02-02;PRIVADO;SEDE;Rua Angelina Maffei Vita, 200;9º andar;Jardim Paulistano;SÃO PAULO;SP;BRASIL;1455070;11;31376801;11;31377097;ri@iguatemi.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Guido Barbosa de Oliveira;2022-02-01;Rua Angelina Maffei Vita, 200;9o. andar;Jardim Paulista;SÃO PAULO;SP;;1455070;11;31377037;;;ri@iguatemi.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
60.543.816/0001-93;IGUATEMI S.A.;IGUATEMI S.A.;1946-03-12;1946-01-24;;;ATIVO;1946-03-12;8672;Emp. Adm. Part. - Comércio (Atacado e Varejo);BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1946-03-12;PRIVADO HOLDING;SEDE;Rua Angelina Maffei Vita;200 9º andar;Jardim Paulistano;SÃO PAULO;SP;BRASIL;1455070;11;31377037;11;31377097;ri@iguatemi.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Guido Barbosa de Oliveira;2021-11-18;Rua Angelina Maffei Vita, 200;9º andar;Jardim Paulistano;SÃO PAULO;SP;;1455070;11;31376872;;;ri@iguatemi.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
